company_name,company_phone,phone_length
??國際運通股份有限公司,225671116,9
?中科技股份有限公司,425653362,9
?傑科技股份有限公司,222677880,9
?億機電有限公司,226855682,9
?億車業有限公司,422221755,9
?元企業有限公司,227118793,9
?全股份有限公司,286013839,9
?君有限公司,906218288,9
?品室內裝修設計有限公司,57813878,8
?塔微科股份有限公司,227883399,9
?富股份有限公司,437025888,9
?寶管理顧問股份有限公司,227845352,9
?展商行,33234691,8
?展機車行,48610930,8
?得科技有限公司,972878717,9
?恩電氣有限公司,47779233,8
?愷通信工程行,77160212,8
?懋企業有限公司,424221329,9
?成國際工程有限公司,34930044,8
?新精機有限公司,426302358,9
?昌環保有限公司,73745381,8
?明機械工業股份有限公司,426399378,9
?春機車行,425268503,9
?沅榮興業有限公司,425152621,9
?溢股份有限公司,222889077,9
?緯電子企業有限公司,87896235,8
?美飯店企業有限公司,223832088,9
?翊生物科技有限公司,87351318,8
?翔企業有限公司,282212768,9
?聖有限公司,955982977,9
?華科技儀器股份有限公司,286776557,9
?角國際有限公司,905782803,9
?誠工程行,965127877,9
?豐企業股份有限公司,62725710,8
?走路室內裝修有限公司,77405703,8
?達企業行,932761174,9
?鎧國際有限公司,274378224,9
?閎實業有限公司,47563919,8
?集機車行,492762469,9
?麒電機科技有限公司,226943007,9
?鼎股份有限公司,36578787,8
?龍國際有限公司,73518009,8
?龍汽車租賃有限公司,35300776,8
EAT時尚館管理委員會,227632308,9
OK藥師藥局,225170068,9
一一大台北企業行,222802200,9
一七二有限公司,35102501,8
一七清潔有限公司,73333987,8
一三企業社,227358821,9
一之軒食品有限公司,222192577,9
一二車業有限公司,423899474,9
一井工商廣告實業有限公司,227365253,9
一代小客車租賃有限公司,72225199,8
一全電話器材有限公司,227775222,9
一功營造股份有限公司,73858156,8
一加仁文化事業有限公司,492918149,9
一卉有限公司,77195999,8
一和宏有限公司,223118010,9
一好印刷事業有限公司,424227488,9
一昌裝潢有限公司,227717581,9
一林衛生工程行,76431155,8
一正水泥製品有限公司,229967589,9
一永交通有限公司,229371166,9
一瑪新材料有限公司,223463160,9
一甲工程有限公司,76251314,8
一直有限公司,223705622,9
一研企業有限公司,78157800,8
一紘興業有限公司,222782506,9
一綺電子企業股份有限公司,227290229,9
一翊有限公司,62598571,8
一翎企業社,920101755,9
一誠生技有限公司,48850399,8
一誠百貨商行,73740582,8
一諾新創有限公司,227785730,9
一路環保工程行,800666556,9
一路發集運網股份有限公司,282017020,9
一軒車行,915611820,9
一采有限公司,37276000,8
一陽國際科技股份有限公司,34964910,8
一靚有限公司,916845675,9
一鷺國際餐飲有限公司,225043668,9
丁達民建築師事務所,223458815,9
七合鋁業有限公司,222887647,9
七星花園旅?事業有限公司,34636666,8
七海食品有限公司,62215267,8
七盛國際物流有限公司,73476535,8
七象國際有限公司,228265181,9
三五紙器有限公司,33860515,8
三仁工業有限公司,33813972,8
三代營造有限公司,62225645,8
三代食品有限公司,73737844,8
三仲有限公司,227154668,9
三信石材有限公司,225006293,9
三傑國際有限公司,33520212,8
三元機車行,423897478,9
三元氣動科技有限公司,62436619,8
三元素工作室,72232224,8
三元資訊社,423594066,9
三兄弟滷味店,62895987,8
三光米股份有限公司,48795123,8
三利奇岩石有限公司,228914789,9
三利富生物科技有限公司,222028798,9
三勇車業行,65955950,8
三匠科技股份有限公司,282421111,9
三十創意設計有限公司,423016222,9
三協工業有限公司,227915330,9
三協聯合企業有限公司,223061818,9
三合微科股份有限公司,223655336,9
三合氣體有限公司,35331662,8
三吉廣告社,62604800,8
三和紙業股份有限公司,33686181,8
三和自動控制廠,63560404,8
三圓模型企業有限公司,34733311,8
三奇自動化有限公司,55880895,8
三奇辦公家具有限公司,228933388,9
三好企業社,226792947,9
三好橡膠工業股份有限公司,423318199,9
三富輪業行,426877986,9
三尚國際股份有限公司,422939011,9
三岳室內裝修設計工程有限公司,225289196,9
三峰空調服務有限公司,228579398,9
三幅企業有限公司,223011470,9
三惟智能股份有限公司,266208358,9
三才崑崙企業有限公司,222173848,9
三揚建設有限公司,76172837,8
三方起重工程行,62335956,8
三旺汽車企業有限公司,62536708,8
三昌車業行,39567367,8
三星電腦科技有限公司,425264972,9
三普精密工業股份有限公司,229932020,9
三智印刷所,66566565,8
三有數位電子有限公司,47220413,8
三本久實業股份有限公司,426991173,9
三榮橡膠工業股份有限公司,227838100,9
三水工業股份有限公司,226018636,9
三泰工業股份有限公司,47774225,8
三泰紙業股份有限公司,73520800,8
三泰股份有限公司,48524553,8
三煜通信電機股份有限公司,229737676,9
三玉托兒所,288661016,9
三環亞洲股份有限公司,225628300,9
三番股份有限公司,227513915,9
三發機車行,970229909,9
三益壁材有限公司,223621367,9
三益電機行,39963872,8
三盛有限公司,226715853,9
三盟實業有限公司,229557796,9
三禾人力資源有限公司,229462987,9
三禾企業社,425663016,9
三穩企業股份有限公司,226706111,9
三立國際有限公司,229871688,9
三立貨櫃有限公司,62668559,8
三聯國際有限公司,936905167,9
三華行有限公司,225774131,9
三角創意溝通有限公司,229160214,9
三詩達有限公司,226213219,9
三豐工程行,938313865,9
三豐機車行,422127827,9
三賓企業有限公司,229891288,9
三起股份有限公司,287681231,9
三超攝影器材行,35262239,8
三都雷射精機股份有限公司,62017220,8
三銧企業有限公司,75550008,8
三電電能股份有限公司,34614718,8
三鼎工程有限公司,227619444,9
上亦國際食品有限公司,65819090,8
上傑記帳士事務所,423125810,9
上億資訊股份有限公司,282950959,9
上億電子機械有限公司,33240609,8
上優文化事業有限公司,285213848,9
上允電信股份有限公司,287705050,9
上冠工程行,76514498,8
上博智慧財產權事務所,62587494,8
上原國際有限公司,62365056,8
上合不動產開發有限公司,34552822,8
上吉建材行,33378476,8
上吉科技工程有限公司,422803566,9
上名工程行,62683236,8
上和車行,425345773,9
上和開發建設股份有限公司,72296699,8
上品寢具股份有限公司,423214988,9
上城糕餅小舖股份有限公司,225010061,9
上大機電股份有限公司,226221678,9
上好吃鐵板燒,63386418,8
上妡萓內衣有限公司,426361926,9
上威企業股份有限公司,225065999,9
